species,class
Pycnonotus xanthorrhous,Birds
Pycnonotus zeylanicus,Birds
Pycnoptilus floccosus,Birds
Pycnopygius cinereus,Birds
Pycnopygius ixoides,Birds
Pycnopygius stictocephalus,Birds
Pygarrhichas albogularis,Birds
Pygiptila stellaris,Birds
Pygochelidon cyanoleuca,Birds
Pygoscelis adeliae,Birds
Pygoscelis antarcticus,Birds
Pygoscelis papua,Birds
Pyrenestes minor,Birds
Pyrenestes ostrinus,Birds
Pyrenestes sanguineus,Birds
Pyriglena atra,Birds
Pyriglena leuconota,Birds
Pyriglena leucoptera,Birds
Pyrilia aurantiocephala,Birds
Pyrilia barrabandi,Birds
Pyrilia caica,Birds
Pyrilia haematotis,Birds
Pyrilia pulchra,Birds
Pyrilia pyrilia,Birds
Pyrilia vulturina,Birds
Pyrocephalus rubinus,Birds
Pyroderus scutatus,Birds
Pyrrhocoma ruficeps,Birds
Pyrrhocorax graculus,Birds
Pyrrhocorax pyrrhocorax,Birds
Pyrrholaemus brunneus,Birds
Pyrrhomyias cinnamomeus,Birds
Pyrrhoplectes epauletta,Birds
Pyrrhula aurantiaca,Birds
Pyrrhula erythaca,Birds
Pyrrhula erythrocephala,Birds
Pyrrhula leucogenis,Birds
Pyrrhula murina,Birds
Pyrrhula nipalensis,Birds
Pyrrhula pyrrhula,Birds
Pyrrhura albipectus,Birds
Pyrrhura amazonum,Birds
Pyrrhura caeruleiceps,Birds
Pyrrhura calliptera,Birds
Pyrrhura cruentata,Birds
Pyrrhura devillei,Birds
Pyrrhura egregia,Birds
Pyrrhura eisenmanni,Birds
Pyrrhura emma,Birds
Pyrrhura frontalis,Birds
Pyrrhura griseipectus,Birds
Pyrrhura hoematotis,Birds
Pyrrhura hoffmanni,Birds
Pyrrhura lepida,Birds
Pyrrhura leucotis,Birds
Pyrrhura lucianii,Birds
Pyrrhura melanura,Birds
Pyrrhura molinae,Birds
Pyrrhura orcesi,Birds
Pyrrhura pacifica,Birds
Pyrrhura parvifrons,Birds
Pyrrhura perlata,Birds
Pyrrhura peruviana,Birds
Pyrrhura pfrimeri,Birds
Pyrrhura picta,Birds
Pyrrhura rhodocephala,Birds
Pyrrhura roseifrons,Birds
Pyrrhura rupicola,Birds
Pyrrhura snethlageae,Birds
Pyrrhura viridicata,Birds
Pyrrhurus scandens,Birds
Pyrroglaux podargina,Birds
Pytilia afra,Birds
Pytilia hypogrammica,Birds
Pytilia melba,Birds
Pytilia phoenicoptera,Birds
Quelea cardinalis,Birds
Quelea erythrops,Birds
Quelea quelea,Birds
Querula purpurata,Birds
Quiscalus lugubris,Birds
Quiscalus major,Birds
Quiscalus mexicanus,Birds
Quiscalus nicaraguensis,Birds
Quiscalus niger,Birds
Quiscalus quiscula,Birds
Radjah radjah,Birds
Rallicula forbesi,Birds
Rallicula leucospila,Birds
Rallicula mayri,Birds
Rallicula rubra,Birds
Rallina canningi,Birds
Rallina eurizonoides,Birds
Rallina fasciata,Birds
Rallina tricolor,Birds
Rallus antarcticus,Birds
Rallus aquaticus,Birds
Rallus caerulescens,Birds
Rallus crepitans,Birds
Rallus elegans,Birds
Rallus indicus,Birds
Rallus limicola,Birds
Rallus longirostris,Birds
Rallus madagascariensis,Birds
Rallus obsoletus,Birds
Rallus semiplumbeus,Birds
Rallus tenuirostris,Birds
Rallus wetmorei,Birds
Ramphastos ambiguus,Birds
Ramphastos ariel,Birds
Ramphastos brevis,Birds
Ramphastos citrolaemus,Birds
Ramphastos culminatus,Birds
Ramphastos cuvieri,Birds
Ramphastos dicolorus,Birds
Ramphastos sulfuratus,Birds
Ramphastos toco,Birds
Ramphastos tucanus,Birds
Ramphastos vitellinus,Birds
Ramphiculus epius,Birds
Ramphiculus fischeri,Birds
Ramphiculus jambu,Birds
Ramphiculus leclancheri,Birds
Ramphiculus mangoliensis,Birds
Ramphiculus marchei,Birds
Ramphiculus meridionalis,Birds
Ramphiculus merrilli,Birds
Ramphiculus occipitalis,Birds
Ramphiculus subgularis,Birds
Ramphocaenus melanurus,Birds
Ramphocelus bresilius,Birds
Ramphocelus carbo,Birds
Ramphocelus costaricensis,Birds
Ramphocelus dimidiatus,Birds
Ramphocelus flammigerus,Birds
Ramphocelus melanogaster,Birds
Ramphocelus nigrogularis,Birds
Ramphocelus passerinii,Birds
Ramphocelus sanguinolentus,Birds
Ramphocinclus brachyurus,Birds
Ramphodon naevius,Birds
Ramphomicron dorsale,Birds
Ramphomicron microrhynchum,Birds
Ramphotrigon fuscicauda,Birds
Ramphotrigon megacephalum,Birds
Ramphotrigon ruficauda,Birds
Ramsayornis fasciatus,Birds
Ramsayornis modestus,Birds
Randia pseudozosterops,Birds
Recurvirostra americana,Birds
Recurvirostra andina,Birds
Recurvirostra avosetta,Birds
Recurvirostra novaehollandiae,Birds
Regulus calendula,Birds
Regulus goodfellowi,Birds
Regulus ignicapilla,Birds
Regulus madeirensis,Birds
Regulus regulus,Birds
Regulus satrapa,Birds
Reinwardtoena browni,Birds
Reinwardtoena crassirostris,Birds
Reinwardtoena reinwardti,Birds
Remiz consobrinus,Birds
Remiz coronatus,Birds
Remiz macronyx,Birds
Remiz pendulinus,Birds
Rhabdornis grandis,Birds
Rhabdornis inornatus,Birds
Rhabdornis mystacalis,Birds
Rhabdotorrhinus corrugatus,Birds
Rhabdotorrhinus exarhatus,Birds
Rhabdotorrhinus leucocephalus,Birds
Rhabdotorrhinus waldeni,Birds
Rhagologus leucostigma,Birds
Rhamphococcyx calyorhynchus,Birds
Rhamphocoris clotbey,Birds
Rhaphidura leucopygialis,Birds
Rhaphidura sabini,Birds
Rhea americana,Birds
Rhea pennata,Birds
Rhea tarapacensis,Birds
Rhegmatorhina berlepschi,Birds
Rhegmatorhina cristata,Birds
Rhegmatorhina gymnops,Birds
Rhegmatorhina hoffmannsi,Birds
Rhegmatorhina melanosticta,Birds
Rheinardia ocellata,Birds
Rhinocrypta lanceolata,Birds
Rhinomyias additus,Birds
Rhinomyias albigularis,Birds
Rhinomyias brunneatus,Birds
Rhinomyias colonus,Birds
Rhinomyias goodfellowi,Birds
Rhinomyias gularis,Birds
Rhinomyias insignis,Birds
Rhinomyias olivaceus,Birds
Rhinomyias oscillans,Birds
Rhinomyias ruficauda,Birds
Rhinomyias umbratilis,Birds
Rhinoplax vigil,Birds
Rhinopomastus aterrimus,Birds
Rhinopomastus castaneiceps,Birds
Rhinopomastus cyanomelas,Birds
Rhinopomastus minor,Birds
Rhinoptilus bitorquatus,Birds
Rhinoptilus chalcopterus,Birds
Rhinoptilus cinctus,Birds
Rhinortha chlorophaea,Birds
Rhipidura albicollis,Birds
Rhipidura albolimbata,Birds
Rhipidura atra,Birds
Rhipidura aureola,Birds
Rhipidura brachyrhyncha,Birds
Rhipidura cockerelli,Birds
Rhipidura cyaniceps,Birds
Rhipidura dahli,Birds
Rhipidura dedemi,Birds
Rhipidura diluta,Birds
Rhipidura drownei,Birds
Rhipidura euryura,Birds
Rhipidura fuliginosa,Birds
Rhipidura fuscorufa,Birds
Rhipidura hyperythra,Birds
Rhipidura hypoxantha,Birds
Rhipidura javanica,Birds
Rhipidura kubaryi,Birds
Rhipidura lepida,Birds
Rhipidura leucophrys,Birds
Rhipidura leucothorax,Birds
Rhipidura maculipectus,Birds
Rhipidura malaitae,Birds
Rhipidura matthiae,Birds
Rhipidura nebulosa,Birds
Rhipidura nigrocinnamomea,Birds
Rhipidura opistherythra,Birds
Rhipidura perlata,Birds
Rhipidura personata,Birds
Rhipidura phasiana,Birds
Rhipidura phoenicura,Birds
Rhipidura rennelliana,Birds
Rhipidura rufidorsa,Birds
Rhipidura rufifrons,Birds
Rhipidura rufiventris,Birds
Rhipidura semirubra,Birds
Rhipidura superciliaris,Birds
Rhipidura superflua,Birds
Rhipidura tenebrosa,Birds
Rhipidura teysmanni,Birds
Rhipidura threnothorax,Birds
Rhipidura verreauxi,Birds
Rhizothera dulitensis,Birds
Rhizothera longirostris,Birds
Rhodinocichla rosea,Birds
Rhodonessa caryophyllacea,Birds
Rhodopechys alienus,Birds
Rhodopechys obsoletus,Birds
Rhodopechys sanguineus,Birds
Rhodophoneus cruentus,Birds
Rhodopis vesper,Birds
Rhodospingus cruentus,Birds
Rhodostethia rosea,Birds
Rhodothraupis celaeno,Birds
Rhopocichla atriceps,Birds
Rhopophilus pekinensis,Birds
Rhopornis ardesiacus,Birds
Rhyacornis bicolor,Birds
Rhyacornis fuliginosa,Birds
Rhynchocyclus brevirostris,Birds
Rhynchocyclus fulvipectus,Birds
Rhynchocyclus olivaceus,Birds
Rhynchocyclus pacificus,Birds
Rhynchophanes mccownii,Birds
Rhynchopsitta pachyrhyncha,Birds
Rhynchopsitta terrisi,Birds
Rhynchortyx cinctus,Birds
Rhynchospiza stolzmanni,Birds
Rhynchospiza strigiceps,Birds
Rhynchostruthus louisae,Birds
Rhynchostruthus percivali,Birds
Rhynchostruthus socotranus,Birds
Rhynchotus maculicollis,Birds
Rhynchotus rufescens,Birds
Rhynochetos jubatus,Birds
Rhyticeros cassidix,Birds
Rhyticeros everetti,Birds
Rhyticeros narcondami,Birds
Rhyticeros plicatus,Birds
Rhyticeros subruficollis,Birds
Rhyticeros undulatus,Birds
Rhytipterna holerythra,Birds
Rhytipterna immunda,Birds
Rhytipterna simplex,Birds
Rigidipenna inexpectata,Birds
Rimator albostriatus,Birds
Rimator malacoptilus,Birds
Rimator pasquieri,Birds
Riparia cincta,Birds
Riparia congica,Birds
Riparia paludicola,Birds
Riparia riparia,Birds
Rissa brevirostris,Birds
Rissa tridactyla,Birds
Robsonius rabori,Birds
Robsonius sorsogonensis,Birds
Rollandia microptera,Birds
Rollandia rolland,Birds
Rollulus rouloul,Birds
Roraimia adusta,Birds
Rostratula australis,Birds
Rostratula benghalensis,Birds
Rostrhamus sociabilis,Birds
Rougetius rougetii,Birds
Rowettia goughensis,Birds
Rufirallus castaneiceps,Birds
Rufirallus viridis,Birds
Rukia longirostra,Birds
Rukia ruki,Birds
Rupicola peruvianus,Birds
Rupicola rupicola,Birds
Rupornis magnirostris,Birds
Rynchops albicollis,Birds
Rynchops flavirostris,Birds
Rynchops niger,Birds
Sagittarius serpentarius,Birds
Sakesphorus bernardi,Birds
Sakesphorus canadensis,Birds
Sakesphorus cristatus,Birds
Sakesphorus luctuosus,Birds
Sakesphorus melanonotus,Birds
Sakesphorus melanothorax,Birds
Salpinctes obsoletus,Birds
Salpornis spilonotus,Birds
Saltator albicollis,Birds
Saltator atriceps,Birds
Saltator atricollis,Birds
Saltator atripennis,Birds
Saltator aurantiirostris,Birds
Saltator cinctus,Birds
Saltator coerulescens,Birds
Saltator fuliginosus,Birds
Saltator grossus,Birds
Saltator maxillosus,Birds
Saltator maximus,Birds
Saltator nigriceps,Birds
Saltator orenocensis,Birds
Saltator rufiventris,Birds
Saltator similis,Birds
Saltator striatipectus,Birds
Saltatricula multicolor,Birds
Salvadorina waigiuensis,Birds
Sapayoa aenigma,Birds
Sappho sparganurus,Birds
Sarcogyps calvus,Birds
Sarcops calvus,Birds
Sarcoramphus papa,Birds
Sarkidiornis melanotos,Birds
Sarkidiornis sylvicola,Birds
Saroglossa aurata,Birds
Saroglossa spiloptera,Birds
Sarothrura affinis,Birds
Sarothrura ayresi,Birds
Sarothrura boehmi,Birds
Sarothrura elegans,Birds
Sarothrura insularis,Birds
Sarothrura lugens,Birds
Sarothrura pulchra,Birds
Sarothrura rufa,Birds
Sarothrura watersi,Birds
Sasia abnormis,Birds
Sasia ochracea,Birds
Satrapa icterophrys,Birds
Saundersilarus saundersi,Birds
Saxicola caprata,Birds
Saxicola dacotiae,Birds
Saxicola ferreus,Birds
Saxicola gutturalis,Birds
Saxicola insignis,Birds
Saxicola jerdoni,Birds
Saxicola leucurus,Birds
Saxicola macrorhynchus,Birds
Saxicola rubetra,Birds
Saxicola tectes,Birds
Saxicola torquatus,Birds
Saxicoloides fulicatus,Birds
Sayornis nigricans,Birds
Sayornis phoebe,Birds
Sayornis saya,Birds
Scelorchilus albicollis,Birds
Scelorchilus rubecula,Birds
Scenopoeetes dentirostris,Birds
Schetba rufa,Birds
Schiffornis major,Birds
Schiffornis turdina,Birds
Schiffornis virescens,Birds
Schistes albogularis,Birds
Schistes geoffroyi,Birds
Schistochlamys melanopis,Birds
Schistochlamys ruficapillus,Birds
Schistocichla brunneiceps,Birds
Schistocichla caurensis,Birds
Schistocichla humaythae,Birds
Schistocichla leucostigma,Birds
Schistocichla rufifacies,Birds
Schistocichla saturata,Birds
Schistocichla schistacea,Birds
Schoenicola brevirostris,Birds
Schoenicola platyurus,Birds
Schoeniophylax phryganophilus,Birds
Schoutedenapus myoptilus,Birds
Schoutedenapus schoutedeni,Birds
Scissirostrum dubium,Birds
Sclateria naevia,Birds
Scleroptila afra,Birds
Scleroptila elgonensis,Birds
Scleroptila finschi,Birds
Scleroptila gutturalis,Birds
Scleroptila levaillantii,Birds
Scleroptila psilolaema,Birds
Scleroptila shelleyi,Birds
Scleroptila streptophora,Birds
Scleroptila whytei,Birds
Sclerurus albigularis,Birds
Sclerurus caudacutus,Birds
Sclerurus guatemalensis,Birds
Sclerurus mexicanus,Birds
Sclerurus rufigularis,Birds
Sclerurus scansor,Birds
Scolopax bukidnonensis,Birds
Scolopax celebensis,Birds
Scolopax minor,Birds
Scolopax mira,Birds
Scolopax rochussenii,Birds
Scolopax rosenbergii,Birds
Scolopax rusticola,Birds
Scolopax saturata,Birds
Scopus umbretta,Birds
Scotocerca inquieta,Birds
Scotopelia bouvieri,Birds
Scotopelia peli,Birds
Scotopelia ussheri,Birds
Scytalopus acutirostris,Birds
Scytalopus affinis,Birds
Scytalopus altirostris,Birds
Scytalopus argentifrons,Birds
Scytalopus atratus,Birds
Scytalopus bolivianus,Birds
Scytalopus canus,Birds
Scytalopus caracae,Birds
Scytalopus chocoensis,Birds
Scytalopus diamantinensis,Birds
Scytalopus femoralis,Birds
Scytalopus fuscus,Birds
Scytalopus griseicollis,Birds
Scytalopus iraiensis,Birds
Scytalopus latebricola,Birds
Scytalopus latrans,Birds
Scytalopus macropus,Birds
Scytalopus magellanicus,Birds
Scytalopus meridanus,Birds
Scytalopus micropterus,Birds
Scytalopus novacapitalis,Birds
Scytalopus opaca,Birds
Scytalopus pachecoi,Birds
Scytalopus panamensis,Birds
Scytalopus parkeri,Birds
Scytalopus parvirostris,Birds
Scytalopus robbinsi,Birds
Scytalopus rodriguezi,Birds
Scytalopus sanctaemartae,Birds
Scytalopus schulenbergi,Birds
Scytalopus simonsi,Birds
Scytalopus speluncae,Birds
Scytalopus spillmanni,Birds
Scytalopus stilesi,Birds
Scytalopus superciliaris,Birds
Scytalopus unicolor,Birds
Scytalopus urubambae,Birds
Scytalopus vicinior,Birds
Scytalopus zimmeri,Birds
Scythrops novaehollandiae,Birds
Seicercus affinis,Birds
Seicercus burkii,Birds
Seicercus castaniceps,Birds
Seicercus grammiceps,Birds
Seicercus montis,Birds
Seicercus omeiensis,Birds
Seicercus poliogenys,Birds
Seicercus soror,Birds
Seicercus tephrocephalus,Birds
Seicercus valentini,Birds
Seicercus whistleri,Birds
Seiurus aurocapilla,Birds
Selasphorus ardens,Birds
Selasphorus calliope,Birds
Selasphorus flammula,Birds
Selasphorus platycercus,Birds
Selasphorus rufus,Birds
Selasphorus sasin,Birds
Selasphorus scintilla,Birds
Selenidera gouldii,Birds
Selenidera langsdorffii,Birds
Selenidera maculirostris,Birds
Selenidera nattereri,Birds
Selenidera piperivora,Birds
Selenidera reinwardtii,Birds
Selenidera spectabilis,Birds
Seleucidis melanoleucus,Birds
Semioptera wallacii,Birds
Semnornis frantzii,Birds
Semnornis ramphastinus,Birds
Sephanoides fernandensis,Birds
Sephanoides sephaniodes,Birds
Sericornis arfakianus,Birds
Sericornis beccarii,Birds
Sericornis citreogularis,Birds
Sericornis frontalis,Birds
Sericornis humilis,Birds
Sericornis keri,Birds
Sericornis magnirostra,Birds
Sericornis nouhuysi,Birds
Sericornis papuensis,Birds
Sericornis perspicillatus,Birds
Sericornis rufescens,Birds
Sericornis spilodera,Birds
Sericornis virgatus,Birds
Sericossypha albocristata,Birds
Sericulus aureus,Birds
Sericulus bakeri,Birds
Sericulus chrysocephalus,Birds
Serilophus lunatus,Birds
Serinus alario,Birds
Serinus albogularis,Birds
Serinus ankoberensis,Birds
Serinus atrogularis,Birds
Serinus buchanani,Birds
Serinus burtoni,Birds
Serinus canaria,Birds
Serinus canicollis,Birds
Serinus capistratus,Birds
Serinus citrinelloides,Birds
Serinus citrinipectus,Birds
Serinus donaldsoni,Birds
Serinus dorsostriatus,Birds
Serinus estherae,Birds
Serinus flavigula,Birds
Serinus flaviventris,Birds
Serinus flavivertex,Birds
Serinus frontalis,Birds
Serinus gularis,Birds
Serinus hypostictus,Birds
Serinus koliensis,Birds
Serinus leucopterus,Birds
Serinus leucopygius,Birds
Serinus melanochrous,Birds
Serinus menachensis,Birds
Serinus mennelli,Birds
Serinus mozambicus,Birds
Serinus nigriceps,Birds
Serinus pusillus,Birds
Serinus reichardi,Birds
Serinus reichenowi,Birds
Serinus rothschildi,Birds
Serinus rufobrunneus,Birds
Serinus scotops,Birds
Serinus serinus,Birds
Serinus striolatus,Birds
Serinus sulphuratus,Birds
Serinus symonsi,Birds
Serinus syriacus,Birds
Serinus thibetanus,Birds
Serinus totta,Birds
Serinus tristriatus,Birds
Serinus xantholaemus,Birds
Serinus xanthopygius,Birds
Serpophaga cinerea,Birds
Serpophaga hypoleuca,Birds
Serpophaga munda,Birds
Serpophaga nigricans,Birds
Serpophaga subcristata,Birds
Setopagis heterura,Birds
Setopagis parvula,Birds
Setopagis whitelyi,Birds
Setophaga ruticilla,Birds
Setornis criniger,Birds
Sheppardia aequatorialis,Birds
Sheppardia aurantiithorax,Birds
Sheppardia bocagei,Birds
Sheppardia cyornithopsis,Birds
Sheppardia gabela,Birds
Sheppardia gunningi,Birds
Sheppardia lowei,Birds
Sheppardia montana,Birds
Sheppardia sharpei,Birds
Sialia currucoides,Birds
Sialia mexicana,Birds
Sialia sialis,Birds
Sibirionetta formosa,Birds
Sicalis auriventris,Birds
Sicalis citrina,Birds
Sicalis columbiana,Birds
Sicalis flaveola,Birds
Sicalis lebruni,Birds
Sicalis lutea,Birds
Sicalis luteocephala,Birds
Sicalis luteola,Birds
Sicalis olivascens,Birds
Sicalis raimondii,Birds
Sicalis taczanowskii,Birds
Sicalis uropygialis,Birds
Sigelus silens,Birds
Simoxenops striatus,Birds
Simoxenops ucayalae,Birds
Siphonorhis brewsteri,Birds
Sipodotus wallacii,Birds
Siptornis striaticollis,Birds
Siptornopsis hypochondriaca,Birds
Sirystes sibilator,Birds
Sitta azurea,Birds
Sitta canadensis,Birds
Sitta carolinensis,Birds
Sitta cashmirensis,Birds
Sitta castanea,Birds
Sitta europaea,Birds
Sitta formosa,Birds
Sitta frontalis,Birds
Sitta himalayensis,Birds
Sitta krueperi,Birds
Sitta ledanti,Birds
Sitta leucopsis,Birds
Sitta magna,Birds
Sitta nagaensis,Birds
Sitta neumayer,Birds
Sitta oenochlamys,Birds
Sitta pusilla,Birds
Sitta pygmaea,Birds
Sitta solangiae,Birds
Sitta tephronota,Birds
Sitta victoriae,Birds
Sitta villosa,Birds
Sitta whiteheadi,Birds
Sitta yunnanensis,Birds
Sittasomus griseicapillus,Birds
Smicrornis brevirostris,Birds
Smithornis capensis,Birds
Smithornis rufolateralis,Birds
Smithornis sharpei,Birds
Smutsornis africanus,Birds
Snowornis cryptolophus,Birds
Snowornis subalaris,Birds
Somateria fischeri,Birds
Somateria mollissima,Birds
Somateria spectabilis,Birds
Spartonoica maluroides,Birds
Spatula clypeata,Birds
Spatula cyanoptera,Birds
Spatula discors,Birds
Spatula hottentota,Birds
Spatula platalea,Birds
Spatula puna,Birds
Spatula querquedula,Birds
Spatula rhynchotis,Birds
Spatula smithii,Birds
Spatula versicolor,Birds
Speculanas specularis,Birds
Speculipastor bicolor,Birds
Speirops brunneus,Birds
Speirops leucophoeus,Birds
Speirops lugubris,Birds
Speirops melanocephalus,Birds
Spelaeornis badeigularis,Birds
Spelaeornis caudatus,Birds
Spelaeornis chocolatinus,Birds
Spelaeornis formosus,Birds
Spelaeornis kinneari,Birds
Spelaeornis longicaudatus,Birds
Spelaeornis oatesi,Birds
Spelaeornis reptatus,Birds
Spelaeornis troglodytoides,Birds
Spermophaga haematina,Birds
Spermophaga poliogenys,Birds
Spermophaga ruficapilla,Birds
Sphecotheres hypoleucus,Birds
Sphecotheres vieilloti,Birds
Sphecotheres viridis,Birds
Spheniscus demersus,Birds
Spheniscus humboldti,Birds
Spheniscus magellanicus,Birds
Spheniscus mendiculus,Birds
Sphenocichla humei,Birds
Sphenocichla roberti,Birds
Sphenoeacus afer,Birds
Sphyrapicus nuchalis,Birds
Sphyrapicus ruber,Birds
Sphyrapicus thyroideus,Birds
Sphyrapicus varius,Birds
Spilopelia chinensis,Birds
Spilopelia senegalensis,Birds
Spilopelia suratensis,Birds
Spiloptila clamans,Birds
Spiloptila rufifrons,Birds
Spilornis cheela,Birds
Spilornis elgini,Birds
Spilornis holospilus,Birds
Spilornis kinabaluensis,Birds
Spilornis klossi,Birds
Spilornis rufipectus,Birds
Spindalis dominicensis,Birds
Spindalis nigricephala,Birds
Spindalis portoricensis,Birds
Spindalis zena,Birds
Spiza americana,Birds
Spizaetus isidori,Birds
Spizaetus melanoleucus,Birds
Spizaetus ornatus,Birds
Spizaetus tyrannus,Birds
Spizella arborea,Birds
Spizella atrogularis,Birds
Spizella breweri,Birds
Spizella pallida,Birds
Spizella passerina,Birds
Spizella pusilla,Birds
Spizella wortheni,Birds
Spiziapteryx circumcincta,Birds
Spizixos canifrons,Birds
Spizixos semitorques,Birds
Spizocorys conirostris,Birds
Spizocorys fringillaris,Birds
Spizocorys obbiensis,Birds
Spizocorys personata,Birds
Spizocorys sclateri,Birds
Sporophila albogularis,Birds
Sporophila americana,Birds
Sporophila ardesiaca,Birds
Sporophila bouvreuil,Birds
Sporophila bouvronides,Birds
Sporophila caerulescens,Birds
Sporophila castaneiventris,Birds
Sporophila cinnamomea,Birds
Sporophila collaris,Birds
Sporophila corvina,Birds
Sporophila falcirostris,Birds
Sporophila frontalis,Birds
Sporophila hypochroma,Birds
Sporophila hypoxantha,Birds
Sporophila intermedia,Birds
Sporophila leucoptera,Birds
Sporophila lineola,Birds
Sporophila luctuosa,Birds
Sporophila melanogaster,Birds
Sporophila minuta,Birds
Sporophila murallae,Birds
Sporophila nigricollis,Birds
Sporophila nigrorufa,Birds
Sporophila palustris,Birds
Sporophila peruviana,Birds
Sporophila plumbea,Birds
Sporophila ruficollis,Birds
Sporophila schistacea,Birds
Sporophila simplex,Birds
Sporophila telasco,Birds
Sporophila torqueola,Birds
Sporopipes frontalis,Birds
Sporopipes squamifrons,Birds
Spreo albicapillus,Birds
Spreo bicolor,Birds
Spreo fischeri,Birds
Stachyris ambigua,Birds
Stachyris capitalis,Birds
Stachyris chrysaea,Birds
Stachyris dennistouni,Birds
Stachyris erythroptera,Birds
Stachyris grammiceps,Birds
Stachyris herberti,Birds
Stachyris hypogrammica,Birds
Stachyris latistriata,Birds
Stachyris leucotis,Birds
Stachyris maculata,Birds
Stachyris melanothorax,Birds
Stachyris nigriceps,Birds
Stachyris nigricollis,Birds
Stachyris nigrocapitata,Birds
Stachyris nigrorum,Birds
Stachyris nonggangensis,Birds
Stachyris oglei,Birds
Stachyris plateni,Birds
Stachyris poliocephala,Birds
Stachyris pygmaea,Birds
Stachyris pyrrhops,Birds
Stachyris ruficeps,Birds
Stachyris rufifrons,Birds
Stachyris striata,Birds
Stachyris striolata,Birds
Stachyris thoracica,Birds
Stachyris whiteheadi,Birds
Stactolaema anchietae,Birds
Stactolaema leucogrammica,Birds
Stactolaema leucotis,Birds
Stactolaema whytii,Birds
Stagonopleura bella,Birds
Stagonopleura guttata,Birds
Stagonopleura oculata,Birds
Starnoenas cyanocephala,Birds
Steatornis caripensis,Birds
Steganopus tricolor,Birds
Stelgidopteryx ruficollis,Birds
Stelgidopteryx serripennis,Birds
Stenostira scita,Birds
Stephanoaetus coronatus,Birds
Stephanophorus diadematus,Birds
Stephanoxis lalandi,Birds
Stephanoxis loddigesii,Birds
Stercorarius longicaudus,Birds
Stercorarius parasiticus,Birds
Stercorarius pomarinus,Birds
Sterna acuticauda,Birds
Sterna aurantia,Birds
Sterna dougallii,Birds
Sterna forsteri,Birds
Sterna hirundinacea,Birds
Sterna hirundo,Birds
Sterna paradisaea,Birds
Sterna repressa,Birds
Sterna striata,Birds
Sterna sumatrana,Birds
Sterna trudeaui,Birds
Sterna virgata,Birds
Sterna vittata,Birds
Sternoclyta cyanopectus,Birds
Sternula albifrons,Birds
Sternula antillarum,Birds
Sternula balaenarum,Birds
Sternula lorata,Birds
Sternula nereis,Birds
Sternula saundersi,Birds
Sternula superciliaris,Birds
Stictonetta naevosa,Birds
Stigmatura budytoides,Birds
Stigmatura napensis,Birds
Stiltia isabella,Birds
Stiphrornis erythrothorax,Birds
Stipiturus malachurus,Birds
Stipiturus mallee,Birds
Stipiturus ruficeps,Birds
Stizorhina fraseri,Birds
Strepera fuliginosa,Birds
Strepera graculina,Birds
Strepera versicolor,Birds
Streptocitta albertinae,Birds
Streptocitta albicollis,Birds
Streptopelia bitorquata,Birds
Streptopelia capicola,Birds
Streptopelia decaocto,Birds
Streptopelia decipiens,Birds
Streptopelia dusumieri,Birds
Streptopelia hypopyrrha,Birds
Streptopelia lugens,Birds
Streptopelia orientalis,Birds
Streptopelia reichenowi,Birds
Streptopelia roseogrisea,Birds
Streptopelia semitorquata,Birds
Streptopelia tranquebarica,Birds
Streptopelia turtur,Birds
Streptopelia vinacea,Birds
Streptopelia xanthocycla,Birds
Streptoprocne biscutata,Birds
Streptoprocne phelpsi,Birds
Streptoprocne rutila,Birds
Streptoprocne semicollaris,Birds
Streptoprocne zonaris,Birds
Stresemannia bougainvillei,Birds
Strigops habroptila,Birds
Strix aluco,Birds
Strix butleri,Birds
Strix chacoensis,Birds
Strix fulvescens,Birds
Strix hylophila,Birds
Strix leptogrammica,Birds
Strix nebulosa,Birds
Strix nivicolum,Birds
Strix occidentalis,Birds
Strix ocellata,Birds
Strix omanensis,Birds
Strix rufipes,Birds
Strix seloputo,Birds
Strix uralensis,Birds
Strix varia,Birds
Strix woodfordii,Birds
Strophocincla cachinnans,Birds
Strophocincla fairbanki,Birds
Struthidea cinerea,Birds
Struthio camelus,Birds
Struthio molybdophanes,Birds
Sturnella bellicosa,Birds
Sturnella defilippii,Birds
Sturnella loyca,Birds
Sturnella magna,Birds
Sturnella militaris,Birds
Sturnella neglecta,Birds
Sturnella superciliaris,Birds
Sturnus albofrontatus,Birds
Sturnus burmannicus,Birds
Sturnus cineraceus,Birds
Sturnus contra,Birds
Sturnus erythropygius,Birds
Sturnus malabaricus,Birds
Sturnus melanopterus,Birds
Sturnus nigricollis,Birds
Sturnus pagodarum,Birds
Sturnus philippensis,Birds
Sturnus roseus,Birds
Sturnus sericeus,Birds
Sturnus sinensis,Birds
Sturnus sturninus,Birds
Sturnus unicolor,Birds
Sturnus vulgaris,Birds
Stymphalornis acutirostris,Birds
Sublegatus arenarum,Birds
Sublegatus modestus,Birds
Sublegatus obscurior,Birds
Suiriri islerorum,Birds
Suiriri suiriri,Birds
Sula dactylatra,Birds
Sula granti,Birds
Sula leucogaster,Birds
Sula nebouxii,Birds
Sula sula,Birds
Sula variegata,Birds
Surnia ulula,Birds
Surniculus dicruroides,Birds
Surniculus lugubris,Birds
Surniculus musschenbroeki,Birds
Surniculus velutinus,Birds
Swynnertonia swynnertoni,Birds
Sylvia althaea,Birds
Sylvia atricapilla,Birds
Sylvia boehmi,Birds
